id,Modelo,MAPE Val,RMSE Val,R2 Val,Ljung-Box Val,Jarque-Bera Val,MAPE Test,RMSE Test,R2 Test,Ljung-Box Test,Jarque-Bera Test
s3e1u1,K-NN,46.663317950036124,0.04829330576086271,0.999764274054219,0.00927479259971148,1.4537133878552696e-12,64.88771897000889,0.07849904835221151,0.9993823574666834,0.45417069851712044,1.039888150232108e-25
s3e1u1,Linear Regression,78.83341832927209,0.04383512291508566,0.999805787143938,0.18944985551139085,0.0005783998575274609,119.34224035180262,0.07788071900601772,0.999392049364653,0.343438449958934,4.2539085144521363e-16
s3e1u1,Ridge,77.91971439873832,0.04411942776164637,0.9998032597316354,0.18840092991684348,0.0003840730466508429,123.03857400636427,0.07978108249061629,0.9993620182415994,0.6055104933740155,3.285996201819438e-14
s3e1u1,Lasso,359.65717825228325,0.08767174603030775,0.9992231219887935,0.0007908876988253298,0.0848708132901757,419.4488314561157,0.10762723102594612,0.9988389451251477,0.006825081822154863,0.0063572227154699715
s3e1u1,Random Forest,50.57525552648864,0.04759961176132286,0.9997709974393234,0.011520046944263474,1.5516978103737223e-05,72.89893815874322,0.07803374089137433,0.9993896579859614,0.3524220381229729,6.300653824439716e-26
s3e1u1,XGBoost,14765.366163752717,1.735405061694594,0.6956065960241762,0.8529836450174286,0.0,4593.831081429363,1.7509348532664182,0.6927100283860432,0.9203137454001546,0.0
s3e1u1,SVR,333.21371218458876,0.08431307499203708,0.9992815056204145,0.756098794034566,9.436790503922764e-06,535.6018123453218,0.11680338618247946,0.9986325253673636,0.3451724839928324,0.001794299921660636
s3e1u2,K-NN,66.96689546248219,1.6018215728241167,0.813344718736096,0.0002983845516266471,2.229320842440312e-13,110.07845261656833,2.351577663228876,0.649730572200245,0.008170850283732484,8.141508676606503e-08
s3e1u2,Linear Regression,84.17105253110097,1.590659839527034,0.815936939734284,5.4069644536617803e-05,7.080301601249794e-12,118.71186070362782,2.7012846539521913,0.5378060217202425,0.0006067639019286496,0.43114704428809714
s3e1u2,Ridge,79.56728491286945,1.5902617897540259,0.8160290487954331,8.519727998742795e-05,6.840778204357115e-12,104.88452794835668,2.6992516663753694,0.5385014545617349,0.0008003975174559818,0.4772046740920135
s3e1u2,Lasso,75.81378179358862,1.5562327072267126,0.8238181836412342,0.0003280002901085455,1.649510618717493e-12,156.4399265598458,2.5761664637895656,0.5796302805239388,0.0021294842014118478,0.16545649296951043
s3e1u2,Random Forest,283.18557693337965,2.4298811812542245,0.570481295600404,0.007090364655991276,0.012913845546639874,336.2034392967591,3.199783310378625,0.35147799317091244,0.01496549116656238,0.07496860669514475
s3e1u2,XGBoost,82.95261726480476,1.7292364876647959,0.7824691847997028,0.22314191314144444,5.190891712901824e-38,228.65161512928088,3.26536526779528,0.3246216755133452,0.30682566160705327,2.1540435288726365e-11
s3e1u2,SVR,66.38590861864992,1.613296815622093,0.8106607907524952,0.0003041786459813302,7.534891297607682e-14,129.3749132538594,2.399189109668635,0.6354034598633624,0.00653936980396456,2.50321635949052e-06
s3e1u3,K-NN,111.075774697302,0.19111545090466014,0.9965804418522433,0.4756907354307257,0.066198648580017,139.47815130231788,0.5171036910534177,0.9760724891996416,0.6306863338437555,6.056665914405062e-07
s3e1u3,Linear Regression,139.32962492052664,0.19957493441146826,0.9962710171612681,0.3276159260185324,0.24638003300470893,200.67578212492845,0.5478937968538595,0.9731382061151023,0.068211021086698,0.0020549599975394125
s3e1u3,Ridge,132.1233781857488,0.2067734908060163,0.9959971610817397,0.2876753624887628,0.3072966776086156,263.49119976742577,0.5566308807793351,0.97227466270105,0.04992109824517781,0.002388010316174668
s3e1u3,Lasso,183.91735571522665,0.26293739895960216,0.9935273351640275,0.019385374016990545,0.3555927454660315,272.8120691109334,0.5637597646076702,0.9715599471083773,0.08229997064181784,0.00852984541101994
s3e1u3,Random Forest,97.96145489776568,0.1794820311920603,0.9969840763296973,0.3399426148270834,0.13949936853298486,106.24630832434534,0.5000538289006389,0.9776243448854439,0.653571846607063,6.052894087245683e-08
s3e1u3,XGBoost,339.9829421208819,2.1323412985459034,0.5743115853107146,0.28689672854675685,2.250373041804283e-136,143.91488134094465,0.6384175115269992,0.9635286509822333,0.4649169294721718,6.312974031840462e-56
s3e1u3,SVR,121.7353113920116,0.9358080684263391,0.9180116842714436,0.3830571981087847,1.0125983169738716e-21,89.37864437149325,1.056334525890719,0.9001506608212106,0.7324816099919595,4.916407965296242e-07
s3e1u4,K-NN,167.09618791754704,0.05732406333224172,0.9996619765778186,0.02236616223362565,2.715411986093867e-11,38.42876704805709,0.11130758543924105,0.9987064586183424,0.2283399019443768,1.3973197904304802e-15
s3e1u4,Linear Regression,728.8930754455673,0.06371540350330863,0.9995823988022949,0.025798524781823172,0.008230106020109934,110.07993929257192,0.10535128842306352,0.9988411946123451,0.7335324139711679,4.7134175986112695e-07
s3e1u4,Ridge,667.2342988367611,0.06435532522971836,0.9995739683748293,0.05761002822574552,0.01879306907461633,100.17591039494873,0.10238169121160486,0.9989056017205469,0.6882752655235529,9.969780115474185e-08
s3e1u4,Lasso,1530.547293043146,0.12851837179875697,0.9983009612276719,0.0003566895856631627,0.3381764612740699,155.31563010619445,0.1587069316232047,0.9973702007716658,0.023612186709398814,0.04769456244084616
s3e1u4,Random Forest,250.3115038953844,0.051318765377156586,0.9997290898609439,0.007613871495128314,0.0007396058959223216,42.90830539843438,0.09920100500159268,0.9989725446754972,0.9303410876388695,5.983087998508131e-11
